pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl26cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb26cd,ttwa_name
KA1 9HQ,KA1  9HQ,KA1 9HQ,202507,202602,1,243014,636774,1,S00149132,S99999999,S99999999,S12000008,S13002896,S99999999,S92000003,S99999999,S14000110,S22000069,S30000017,S99999999,S01015657,S02002899,S34000947,S03000001,,2,8C3,55.599195,-4.493128,S99999999,S99999999,S23000009,1543,S99999999,Kilmarnock and Irvine
BH121EG,BH12 1EG,BH12 1EG,198001,,0,406775,92031,1,E00077798,E99999999,E99999999,E06000058,E05012677,E40000006,E92000001,E12000009,E14001116,E30000175,E06000058,E65000001,E01015386,E02003202,E33048204,E38000045,E63013860,UN1,2C1,50.727849,-1.905367,E37000009,,E23000039,9710,E54000041,Bournemouth
CF6 7BU,CF6  7BU,CF6 7BU,198001,199212,0,312600,168900,8,W00005708,W99999999,W99999999,W06000014,W05001384,W99999999,W92000004,W99999999,W07000110,W22000024,W06000014,W31000001,W01001079,W02000248,W35001978,W11000029,W45001235,UF1,8D2,51.412359,-3.258111,W99999999,W99999999,W15000003,388,W99999999,Cardiff
PR6 9JA,PR6  9JA,PR6 9JA,199507,199812,1,360590,414436,6,E00126751,E10000017,E58000763,E07000118,E05013070,E40000014,E92000001,E12000002,E14001170,E30000255,E07000118,E65000001,E01024973,E02005202,E33008225,E38000034,E63999999,RSN1,1C3,53.624981,-2.597339,E37000019,,E23000003,23122,E54000048,Preston
AB116XJ,AB11 6XJ,AB11 6XJ,199606,,0,393264,805464,1,S00136639,S99999999,S99999999,S12000033,S13002846,S99999999,S92000003,S99999999,S14000061,S22000047,S30000026,S99999999,S01013562,S02002529,S34003108,S03000012,,1,2B1,57.14001,-2.112942,S99999999,S99999999,S23000009,5250,S99999999,Aberdeen
SR8 5DB,SR8  5DB,SR8 5DB,198001,,0,443141,541005,1,E00105334,E99999999,E99999999,E06000047,E05016179,E40000012,E92000001,E12000001,E14001211,E30000275,E06000047,E65000001,E01020758,E02004325,E33001888,E38000234,E63007291,UN1,8C3,54.762145,-1.331102,E37000025,,E23000008,615,E54000050,Sunderland
AB219YG,AB21 9YG,AB21 9YG,199706,199812,1,389175,809759,6,S00135566,S99999999,S99999999,S12000033,S13002835,S99999999,S92000003,S99999999,S14000060,S22000047,S30000026,S99999999,S01013733,S02002558,S34003005,S03000012,,1,5B3,57.178514,-2.180691,S99999999,S99999999,S23000009,2530,S99999999,Aberdeen
YO5 8QU,YO5  8QU,YO5 8QU,198402,199712,0,446300,452600,8,E00140992,E99999999,E99999999,E06000065,E05014323,E40000012,E92000001,E12000003,E14001582,E30000294,E06000065,E65000001,E01027683,E02005776,E33010228,E38000241,E63007705,RLN1,1A2,53.967428,-1.295725,E37000058,,E23000009,32706,E54000051,York
BA4 6HP,BA4  6HP,BA4 6HP,200604,,0,368985,138955,1,E00147988,E99999999,E99999999,E06000066,E05014372,E40000006,E92000001,E12000009,E14001241,E30000274,E06000066,E65000001,E01029058,E02006056,E33050149,E38000150,E63999999,RSF1,1B2,51.149002,-2.444789,E37000016,,E23000036,16390,E54000038,Street and Wells
TS9 6DP,TS9  6DP,TS9 6DP,199308,,0,455813,511013,1,E00140501,E99999999,E99999999,E06000065,E05014276,E40000012,E92000001,E12000003,E14001444,E30000093,E06000065,E65000001,E01027599,E02005750,E33013419,E38000241,E63007446,RLN1,8C2,54.491404,-1.139897,E37000058,,E23000009,14485,E54000051,Middlesbrough and Stockton
BN229QT,BN22 9QT,BN22 9QT,198001,,0,560205,102444,1,E00106188,E10000011,E58000370,E07000061,E05011575,E40000005,E92000001,E12000008,E14001219,E30000204,E07000061,E65000001,E01020921,E02004359,E33041513,E38000235,E63013776,UN1,8D2,50.799412,0.272037,E37000056,,E23000033,11585,E54000069,Eastbourne
IP119HH,IP11 9HH,IP11 9HH,198001,,0,630873,235793,1,E00153765,E10000029,E58001413,E07000244,E05012741,E40000013,E92000001,E12000006,E14001530,E30000222,E07000244,E65000001,E01033450,E02006299,E33028669,E38000086,E63011061,UN1,6B4,51.972633,1.359952,E37000052,,E23000025,27086,E54000068,Ipswich
LE143LU,LE14 3LU,LE14 3LU,199405,,0,467404,323974,1,E00131477,E10000018,E58000870,E07000133,E05005507,E40000011,E92000001,E12000004,E14001357,E30000230,E07000133,E65000001,E01025909,E02005393,E33016508,E38000051,E63999999,RSN1,1B1,52.809132,-1.00148,E37000021,,E23000021,20254,E54000015,Leicester
G52 4EE,G52  4EE,G52 4EE,198001,,0,251545,664793,1,S00159647,S99999999,S99999999,S12000049,S13002970,S99999999,S92000003,S99999999,S14000101,S22000065,S30000052,S99999999,S01016948,S02003149,S34005198,S03000043,,1,5A2,55.853406,-4.373084,S99999999,S99999999,S23000009,1578,S99999999,Glasgow
